AETHALOMETER
Serial number = AE33-S07-00604
Application version = 1.4.2.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;


2018/08/24 00:00:00 60 904300 764578 837802 939626 826150 876295 939434 818677 873831 901117 807817 851216 844904 853492 893092 657217 907888 914606 713533 913757 914318 3780 1213 4993 101325 21.11 14.3 29 41 0 0 10 10 00000 29 37 19 40 48 43 51 38 48 40 38 67 39 57 86 59 36 117 37 44 39 44 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:01:00 60 904292 764526 837779 939629 826113 876280 939429 818623 873805 901094 807769 851187 844884 853450 893068 657210 907863 914600 713482 913677 914245 3780 1214 4994 101325 21.11 50.9 29 41 0 0 10 10 00000 29 43 43 47 45 59 47 63 79 65 40 31 41 33 13 35 30 -22 30 30 49 31 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:02:00 60 904321 764499 837785 939638 826070 876274 939420 818584 873797 901145 807782 851219 844900 853429 893065 657200 907819 914582 713496 913681 914261 3780 1213 4993 101325 21.11 100.0 29 39 0 0 10 10 00000 29 49 57 53 58 48 60 39 -1 41 47 69 49 57 91 59 58 24 59 29 12 29 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:03:00 60 904315 764451 837771 939655 826044 876268 939401 818539 873767 901144 807746 851203 844900 853410 893063 657226 907818 914601 713516 913672 914271 3780 1213 4993 101325 21.11 0.0 29 41 0 0 10 10 00000 29 41 23 44 46 73 49 36 45 37 51 65 53 29 9 30 71 102 73 71 100 73 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:04:00 60 904271 764367 837706 939617 825968 876218 939367 818476 873734 901092 807675 851152 844872 853355 893029 657175 907751 914534 713455 913576 914195 3780 1212 4992 101325 21.11 33.3 29 41 0 0 10 10 00000 29 45 66 48 48 48 51 42 5 44 35 8 37 41 20 42 -7 -23 -7 37 -14 38 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:05:00 60 904339 764388 837750 939669 825982 876258 939452 818511 873794 901206 807751 851252 844927 853384 893077 657240 907803 914612 713543 913670 914300 3780 1213 4993 101325 21.11 0.0 29 38 0 0 10 10 00000 29 35 52 38 36 28 38 49 70 51 38 33 39 41 46 42 73 74 74 39 50 39 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:06:00 60 904293 764306 837703 939629 825913 876208 939404 818440 873744 901151 807670 851197 844872 853317 893015 657202 907751 914555 713481 913578 914215 3780 1214 4994 101325 21.11 50.0 29 41 0 0 10 10 00000 29 41 12 45 38 42 40 37 20 38 46 13 48 18 18 18 -1 24 -1 26 36 27 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
2018/08/24 00:07:00 60 904298 764266 837689 939639 825882 876204 939407 818415 873727 901155 807645 851186 844905 853310 893041 657199 907716 914547 713496 913587 914238 3780 1213 4993 101325 21.11 100.0 29 41 0 0 10 10 00000 29 43 51 46 45 44 47 35 73 36 41 63 43 62 41 64 59 23 61 21 -24 21 0.007421013 0.007529292 0.007706845 0.008055317 0.008324913 0.008867839 0.009096367 35
